,user,item,score,test_item,test_score,rank
5,0,218,0.8950171470642091,25,0.6971921920776367,1.0
94,0,499,0.7954428195953369,25,0.6971921920776367,2.0
88,0,426,0.7018576860427856,25,0.6971921920776367,3.0
597960,0,25,0.6971921920776367,25,0.6971921920776367,4.0
58,0,435,0.6162697076797485,25,0.6971921920776367,5.0
89,0,382,0.5401836037635803,25,0.6971921920776367,6.0
82,0,1030,0.5226011276245117,25,0.6971921920776367,7.0
54,0,308,0.4523864984512329,25,0.6971921920776367,8.0
57,0,110,0.38479527831077576,25,0.6971921920776367,9.0
8,0,2043,0.34482496976852417,25,0.6971921920776367,10.0
90,0,1363,0.3123297393321991,25,0.6971921920776367,11.0
44,0,1348,0.26392185688018804,25,0.6971921920776367,12.0
21,0,625,0.2507214844226837,25,0.6971921920776367,13.0
33,0,457,0.21649138629436493,25,0.6971921920776367,14.0
32,0,1323,0.18910743296146396,25,0.6971921920776367,15.0
72,0,1417,0.18597711622715,25,0.6971921920776367,16.0
84,0,636,0.1836293637752533,25,0.6971921920776367,17.0
93,0,2057,0.18211781978607175,25,0.6971921920776367,18.0
87,0,1887,0.15584318339824674,25,0.6971921920776367,19.0
31,0,654,0.15444554388523102,25,0.6971921920776367,20.0
61,0,1686,0.1474906951189041,25,0.6971921920776367,21.0
47,0,890,0.13644243776798248,25,0.6971921920776367,22.0
43,0,1831,0.13463754951953888,25,0.6971921920776367,23.0
41,0,465,0.12613561749458313,25,0.6971921920776367,24.0
92,0,2133,0.12026170641183853,25,0.6971921920776367,25.0
67,0,57,0.1201884299516678,25,0.6971921920776367,26.0
73,0,1052,0.11942517757415773,25,0.6971921920776367,27.0
19,0,623,0.1055176854133606,25,0.6971921920776367,28.0
50,0,1866,0.0955367162823677,25,0.6971921920776367,29.0
4,0,1775,0.08474453538656235,25,0.6971921920776367,30.0
52,0,2188,0.07385443150997162,25,0.6971921920776367,31.0
1,0,1630,0.06831363588571547,25,0.6971921920776367,32.0
38,0,1405,0.06815344095230103,25,0.6971921920776367,33.0
95,0,1287,0.06288377195596695,25,0.6971921920776367,34.0
48,0,2316,0.058292675763368614,25,0.6971921920776367,35.0
35,0,355,0.05575172975659369,25,0.6971921920776367,36.0
65,0,2789,0.05106474459171295,25,0.6971921920776367,37.0
13,0,2005,0.05039641261100769,25,0.6971921920776367,38.0
97,0,1245,0.0495234839618206,25,0.6971921920776367,39.0
26,0,1079,0.0494995079934597,25,0.6971921920776367,40.0
53,0,1119,0.04894987493753433,25,0.6971921920776367,41.0
62,0,2962,0.041994575411081314,25,0.6971921920776367,42.0
45,0,2555,0.04104403778910637,25,0.6971921920776367,43.0
56,0,2300,0.040599286556243896,25,0.6971921920776367,44.0
9,0,1711,0.03950915485620499,25,0.6971921920776367,45.0
80,0,2377,0.0375145934522152,25,0.6971921920776367,46.0
12,0,1295,0.035312868654727936,25,0.6971921920776367,47.0
79,0,835,0.034981340169906616,25,0.6971921920776367,48.0
30,0,2518,0.032143794000148766,25,0.6971921920776367,49.0
86,0,2277,0.03086892887949944,25,0.6971921920776367,50.0
27,0,2234,0.025344094261527058,25,0.6971921920776367,51.0
68,0,2559,0.025337956845760345,25,0.6971921920776367,52.0
75,0,1385,0.02316388487815857,25,0.6971921920776367,53.0
6,0,1113,0.019031468778848648,25,0.6971921920776367,54.0
46,0,2676,0.018133319914340973,25,0.6971921920776367,55.0
